Latitude (decimal degrees):	10.702
Longitude (decimal degrees):	122.562
Elevation (m):	9
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20160106:1230,0.0,0.0,0.0,25.51,4.14,0.0
20160106:1330,0.0,0.0,0.0,25.29,4.0,0.0
20160106:1430,0.0,0.0,0.0,25.28,4.07,0.0
20160106:1530,0.0,0.0,0.0,24.92,4.34,0.0
20160106:1630,0.0,0.0,0.0,24.55,4.34,0.0
20160106:1730,0.0,0.0,0.0,24.22,3.86,0.0
20160106:1830,0.0,0.0,0.0,24.04,3.52,0.0
20160106:1930,0.0,0.0,0.0,24.36,3.79,0.0
20160106:2030,0.0,0.0,0.0,24.36,3.72,0.0
20160106:2130,0.0,0.0,0.0,24.36,3.79,0.0
20160106:2230,7.39,28.85,3.77,24.4,4.0,0.0
20160106:2330,122.45,181.0,17.05,24.51,4.14,0.0
20160107:0030,257.29,333.85,29.71,25.37,5.03,0.0
20160107:0130,339.9,431.65,41.32,26.26,4.97,0.0
20160107:0230,490.05,622.71,50.81,27.06,5.1,0.0
20160107:0330,543.36,692.66,56.32,27.84,5.24,0.0
20160107:0430,588.1,754.91,55.87,28.3,5.17,0.0
20160107:0530,537.76,689.46,49.65,28.69,5.03,0.0
20160107:0630,419.17,537.56,39.78,28.92,5.1,0.0
20160107:0730,309.93,408.01,27.97,28.63,5.1,0.0
20160107:0830,121.78,188.45,15.15,28.17,4.97,0.0
20160107:0930,2.44,11.65,1.79,27.31,4.28,0.0
20160107:1030,0.0,0.0,0.0,26.21,4.14,0.0
20160107:1130,0.0,0.0,0.0,25.53,4.28,0.0
20160107:1230,0.0,0.0,0.0,25.1,4.34,0.0
20160107:1330,0.0,0.0,0.0,24.89,4.28,0.0
20160107:1430,0.0,0.0,0.0,24.74,4.0,0.0
20160107:1530,0.0,0.0,0.0,24.59,3.72,0.0
20160107:1630,0.0,0.0,0.0,24.56,3.59,0.0
20160107:1730,0.0,0.0,0.0,24.38,3.72,0.0
20160107:1830,0.0,0.0,0.0,24.29,4.0,0.0
20160107:1930,0.0,0.0,0.0,24.29,4.14,0.0
20160107:2030,0.0,0.0,0.0,24.25,4.14,0.0
20160107:2130,0.0,0.0,0.0,24.22,4.07,0.0
20160107:2230,6.88,33.3,3.7,24.22,4.0,0.0
20160107:2330,135.84,200.4,17.0,24.58,3.93,0.0
20160108:0030,332.64,429.41,29.69,25.66,4.55,0.0
20160108:0130,473.46,600.46,41.33,26.76,5.24,0.0
20160108:0230,582.25,744.66,50.86,27.55,5.17,0.0
20160108:0330,667.39,864.56,56.43,28.27,4.97,0.0
20160108:0430,669.58,871.21,56.02,28.85,4.83,0.0
20160108:0530,605.12,785.21,49.82,29.17,4.62,0.0
20160108:0630,483.29,624.56,39.93,29.17,4.48,0.0
20160108:0730,327.46,432.16,28.11,28.94,4.48,0.0
20160108:0830,139.98,216.61,15.29,28.45,4.41,0.0
20160108:0930,2.98,12.75,1.91,27.58,4.14,0.0
20160108:1030,0.0,0.0,0.0,26.37,4.41,0.0
20160108:1130,0.0,0.0,0.0,25.58,4.48,0.0
20160108:1230,0.0,0.0,0.0,25.05,4.28,0.0
20160108:1330,0.0,0.0,0.0,24.71,4.0,0.0
20160108:1430,0.0,0.0,0.0,24.48,3.72,0.0
20160108:1530,0.0,0.0,0.0,24.29,3.66,0.0
20160108:1630,0.0,0.0,0.0,24.23,3.66,0.0
20160108:1730,0.0,0.0,0.0,24.23,3.93,0.0
20160108:1830,0.0,0.0,0.0,24.2,4.28,0.0
20160108:1930,0.0,0.0,0.0,24.4,4.21,0.0
20160108:2030,0.0,0.0,0.0,24.27,4.41,0.0
20160108:2130,0.0,0.0,0.0,24.1,4.41,0.0
20160108:2230,7.54,30.4,3.64,24.06,4.28,0.0
20160108:2330,157.68,230.0,16.96,24.41,3.86,0.0
20160109:0030,347.01,448.21,29.67,25.69,4.34,0.0
20160109:0130,489.53,622.31,41.34,26.99,5.45,0.0
20160109:0230,602.88,771.21,50.92,27.9,5.66,0.0
20160109:0330,656.37,847.21,56.55,28.63,5.59,0.0
20160109:0430,580.19,745.61,56.18,29.22,5.52,0.0
20160109:0530,574.46,740.01,49.98,29.31,5.31,0.0
20160109:0630,434.36,557.16,40.09,29.31,5.45,0.0
20160109:0730,322.96,424.11,28.26,29.07,5.93,0.0
20160109:0830,134.61,207.2,15.42,28.51,6.07,0.0
20160109:0930,3.06,12.9,2.03,27.53,5.38,0.0
20160109:1030,0.0,0.0,0.0,26.47,5.03,0.0
20160109:1130,0.0,0.0,0.0,25.9,5.03,0.0
20160109:1230,0.0,0.0,0.0,25.63,5.17,0.0
20160109:1330,0.0,0.0,0.0,25.5,5.45,0.0
20160109:1430,0.0,0.0,0.0,25.49,5.72,0.0
20160109:1530,0.0,0.0,0.0,25.48,6.0,0.0
20160109:1630,0.0,0.0,0.0,25.39,6.14,0.0
20160109:1730,0.0,0.0,0.0,25.36,6.28,0.0
20160109:1830,0.0,0.0,0.0,25.2,6.28,0.0
20160109:1930,0.0,0.0,0.0,25.3,6.34,0.0
20160109:2030,0.0,0.0,0.0,25.17,6.28,0.0
20160109:2130,0.0,0.0,0.0,25.05,6.0,0.0
20160109:2230,8.0,32.89,3.58,24.93,5.86,0.0
20160109:2330,128.33,190.6,16.92,25.14,5.59,0.0
20160110:0030,327.79,420.81,29.65,25.89,6.69,0.0
20160110:0130,427.63,538.71,41.36,26.87,7.03,0.0
20160110:0230,519.82,654.31,50.98,27.73,7.59,0.0
20160110:0330,533.6,674.51,56.67,28.32,7.52,0.0
20160110:0430,595.22,755.11,56.34,28.49,7.24,0.0
20160110:0530,401.59,508.3,50.15,28.52,7.17,0.0
20160110:0630,261.01,335.1,40.25,28.17,7.03,0.0
20160110:0730,185.68,248.75,28.41,27.73,6.28,0.0
20160110:0830,77.66,126.1,15.55,27.54,6.07,0.0
20160110:0930,1.73,10.15,2.15,27.06,5.59,0.0
20160110:1030,0.0,0.0,0.0,26.43,5.38,0.0
20160110:1130,0.0,0.0,0.0,26.22,5.45,0.0
20160110:1230,0.0,0.0,0.0,25.99,5.52,0.0
20160110:1330,0.0,0.0,0.0,25.86,5.52,0.0
20160110:1430,0.0,0.0,0.0,25.74,5.52,0.0
20160110:1530,0.0,0.0,0.0,25.59,5.38,0.0
20160110:1630,0.0,0.0,0.0,25.38,5.24,0.0
20160110:1730,0.0,0.0,0.0,25.19,5.03,0.0
20160110:1830,0.0,0.0,0.0,25.12,4.9,0.0
20160110:1930,0.0,0.0,0.0,25.1,5.1,0.0
20160110:2030,0.0,0.0,0.0,25.21,4.9,0.0
20160110:2130,0.0,0.0,0.0,24.99,4.69,0.0
20160110:2230,7.05,26.53,3.52,24.9,4.62,0.0
20160110:2330,137.69,201.5,16.88,25.2,4.41,0.0
20160111:0030,289.55,375.0,29.64,26.18,5.45,0.0
20160111:0130,393.75,503.4,41.38,27.28,5.1,0.0
20160111:0230,491.63,632.91,51.06,28.35,4.55,0.0
20160111:0330,540.12,702.76,56.8,29.29,4.07,0.0
20160111:0430,599.06,789.31,56.51,30.01,3.52,0.0
20160111:0530,562.99,746.71,50.33,30.55,2.76,0.0
20160111:0630,417.7,552.61,40.41,30.94,2.21,0.0
20160111:0730,292.12,392.66,28.55,30.52,2.28,0.0
20160111:0830,119.17,186.15,15.69,30.3,2.9,0.0
20160111:0930,3.51,13.85,2.27,29.43,3.03,0.0
20160111:1030,0.0,0.0,0.0,28.13,3.59,0.0
20160111:1130,0.0,0.0,0.0,27.22,4.14,0.0
20160111:1230,0.0,0.0,0.0,26.63,4.0,0.0
20160111:1330,0.0,0.0,0.0,26.22,3.52,0.0
20160111:1430,0.0,0.0,0.0,25.93,3.31,0.0
20160111:1530,0.0,0.0,0.0,25.54,3.17,0.0
20160111:1630,0.0,0.0,0.0,25.24,3.1,0.0
20160111:1730,0.0,0.0,0.0,25.05,3.03,0.0
20160111:1830,0.0,0.0,0.0,24.94,3.1,0.0
20160111:1930,0.0,0.0,0.0,24.75,3.03,0.0
20160111:2030,0.0,0.0,0.0,24.74,3.31,0.0
20160111:2130,0.0,0.0,0.0,24.67,3.52,0.0
20160111:2230,7.03,30.9,3.46,24.69,3.66,0.0
20160111:2330,140.09,207.15,16.84,24.98,3.93,0.0
20160112:0030,318.91,412.91,29.64,25.86,4.28,0.0
20160112:0130,456.94,581.81,41.41,27.06,4.83,0.0
20160112:0230,554.98,713.46,51.13,27.89,4.48,0.0
20160112:0330,582.96,754.61,56.93,28.58,4.28,0.0
20160112:0430,537.22,691.61,56.69,28.99,4.62,0.0
20160112:0530,483.82,621.31,50.51,28.78,4.62,0.0
20160112:0630,411.04,528.51,40.58,28.93,4.69,0.0
20160112:0730,285.45,376.7,28.71,28.98,4.69,0.0
20160112:0830,127.63,196.25,15.82,28.7,4.9,0.0
20160112:0930,3.84,28.25,2.4,27.75,4.62,0.0
20160112:1030,0.0,0.0,0.0,26.88,4.14,0.0
20160112:1130,0.0,0.0,0.0,26.21,4.07,0.0
20160112:1230,0.0,0.0,0.0,25.77,4.14,0.0
20160112:1330,0.0,0.0,0.0,25.46,4.41,0.0
20160112:1430,0.0,0.0,0.0,25.26,4.62,0.0
20160112:1530,0.0,0.0,0.0,24.99,4.55,0.0
20160112:1630,0.0,0.0,0.0,24.89,4.21,0.0
20160112:1730,0.0,0.0,0.0,24.77,4.21,0.0
20160112:1830,0.0,0.0,0.0,24.63,4.21,0.0
20160112:1930,0.0,0.0,0.0,24.9,4.97,0.0
20160112:2030,0.0,0.0,0.0,24.81,4.9,0.0
20160112:2130,0.0,0.0,0.0,24.8,4.83,0.0
20160112:2230,6.96,30.93,3.41,24.84,4.9,0.0
20160112:2330,122.74,180.85,16.81,24.95,4.83,0.0
20160113:0030,289.34,373.4,29.64,25.8,6.07,0.0
20160113:0130,399.65,505.41,41.44,26.84,6.41,0.0
20160113:0230,585.43,743.06,51.22,27.57,6.41,0.0
20160113:0330,539.43,684.21,57.08,28.47,6.28,0.0
20160113:0430,615.5,788.21,56.87,28.35,5.86,0.0
20160113:0530,563.41,720.36,50.7,28.83,5.86,0.0
20160113:0630,355.79,456.8,40.75,28.98,5.52,0.0
20160113:0730,276.9,364.06,28.86,28.39,5.17,0.0
20160113:0830,95.34,150.25,15.96,28.22,4.97,0.0
20160113:0930,3.37,26.03,2.52,27.37,4.62,0.0
20160113:1030,0.0,0.0,0.0,26.47,4.07,0.0
20160113:1130,0.0,0.0,0.0,25.82,4.07,0.0
20160113:1230,0.0,0.0,0.0,25.49,4.0,0.0
20160113:1330,0.0,0.0,0.0,25.3,3.86,0.0
20160113:1430,0.0,0.0,0.0,25.17,3.79,0.0
20160113:1530,0.0,0.0,0.0,25.07,3.66,0.0
20160113:1630,0.0,0.0,0.0,24.99,3.52,0.0
20160113:1730,0.0,0.0,0.0,24.89,3.52,0.0
20160113:1830,0.0,0.0,0.0,24.79,3.72,0.0
20160113:1930,0.0,0.0,0.0,24.83,3.93,0.0
20160113:2030,0.0,0.0,0.0,24.82,4.21,0.0
20160113:2130,0.0,0.0,0.0,24.76,4.34,0.0
20160113:2230,7.13,30.26,3.37,24.68,4.34,0.0
20160113:2330,131.92,192.4,16.78,24.88,4.14,0.0
20160114:0030,332.64,429.46,29.64,25.97,4.97,0.0
20160114:0130,468.84,595.66,41.48,27.26,5.52,0.0
20160114:0230,620.24,795.21,51.31,28.13,5.72,0.0
20160114:0330,651.81,839.31,57.23,29.0,5.93,0.0
20160114:0430,677.48,878.01,57.06,29.46,5.86,0.0
20160114:0530,615.16,794.36,50.89,29.77,5.79,0.0
20160114:0630,490.99,630.81,40.92,29.72,5.79,0.0
20160114:0730,347.55,455.61,29.01,29.52,5.93,0.0
20160114:0830,150.05,227.66,16.1,28.89,5.79,0.0
20160114:0930,4.44,30.03,2.64,27.88,5.1,0.0
20160114:1030,0.0,0.0,0.0,26.66,4.62,0.0
20160114:1130,0.0,0.0,0.0,25.88,4.48,0.0
20160114:1230,0.0,0.0,0.0,25.43,4.41,0.0
20160114:1330,0.0,0.0,0.0,25.18,4.34,0.0
20160114:1430,0.0,0.0,0.0,25.02,4.28,0.0
20160114:1530,0.0,0.0,0.0,25.02,4.41,0.0
20160114:1630,0.0,0.0,0.0,25.04,4.55,0.0
20160114:1730,0.0,0.0,0.0,24.88,4.69,0.0
20160114:1830,0.0,0.0,0.0,24.75,4.76,0.0
20160114:1930,0.0,0.0,0.0,24.92,4.62,0.0
20160114:2030,0.0,0.0,0.0,24.83,4.41,0.0
20160114:2130,0.0,0.0,0.0,24.86,4.28,0.0
20160114:2230,5.76,28.72,3.32,24.74,4.14,0.0
20160114:2330,149.57,219.45,16.76,24.8,4.0,0.0
20160115:0030,345.28,445.01,29.65,25.74,4.97,0.0
20160115:0130,446.63,567.71,41.53,26.89,5.17,0.0
20160115:0230,535.7,685.06,51.4,27.98,5.24,0.0
20160115:0330,514.22,662.11,57.38,28.79,5.1,0.0
20160115:0430,601.63,779.21,57.26,28.94,4.9,0.0
20160115:0530,483.86,621.56,51.08,29.41,5.1,0.0
20160115:0630,438.71,564.06,41.1,29.4,4.97,0.0
20160115:0730,309.44,406.66,29.16,28.9,4.76,0.0
20160115:0830,135.45,205.35,16.23,28.5,4.55,0.0
20160115:0930,5.19,31.29,2.76,27.94,4.21,0.0
20160115:1030,0.0,0.0,0.0,26.88,3.79,0.0
20160115:1130,0.0,0.0,0.0,26.12,3.86,0.0
20160115:1230,0.0,0.0,0.0,25.56,3.86,0.0
20160115:1330,0.0,0.0,0.0,25.18,3.79,0.0
20160115:1430,0.0,0.0,0.0,24.92,3.66,0.0
20160115:1530,0.0,0.0,0.0,24.63,3.66,0.0
20160115:1630,0.0,0.0,0.0,24.46,3.79,0.0
20160115:1730,0.0,0.0,0.0,24.27,3.93,0.0
20160115:1830,0.0,0.0,0.0,24.14,3.86,0.0
20160115:1930,0.0,0.0,0.0,23.98,3.45,0.0
20160115:2030,0.0,0.0,0.0,23.85,3.31,0.0
20160115:2130,0.0,0.0,0.0,23.78,3.31,0.0
20160115:2230,7.19,31.22,3.28,23.82,3.31,0.0
20160115:2330,133.95,194.9,16.74,24.02,3.31,0.0
20160116:0030,338.55,437.11,29.66,25.21,4.0,0.0
20160116:0130,498.74,635.46,41.58,26.61,4.69,0.0
20160116:0230,625.64,803.46,51.5,27.62,5.1,0.0
20160116:0330,681.21,882.21,57.55,28.49,5.38,0.0
20160116:0430,663.6,857.36,57.46,29.04,5.72,0.0
20160116:0530,610.03,784.96,51.28,29.17,5.86,0.0
20160116:0630,498.98,639.31,41.28,29.08,6.0,0.0
20160116:0730,319.48,417.76,29.32,28.82,5.79,0.0
20160116:0830,149.0,224.3,16.37,28.15,5.86,0.0
20160116:0930,5.49,33.55,2.88,27.19,5.66,0.0
20160116:1030,0.0,0.0,0.0,26.0,5.17,0.0
20160116:1130,0.0,0.0,0.0,25.21,4.9,0.0
20160116:1230,0.0,0.0,0.0,24.69,4.41,0.0
20160116:1330,0.0,0.0,0.0,24.24,4.0,0.0
20160116:1430,0.0,0.0,0.0,23.92,3.86,0.0
20160116:1530,0.0,0.0,0.0,23.73,3.93,0.0
20160116:1630,0.0,0.0,0.0,23.65,3.93,0.0
20160116:1730,0.0,0.0,0.0,23.69,3.93,0.0
20160116:1830,0.0,0.0,0.0,23.62,3.72,0.0
20160116:1930,0.0,0.0,0.0,23.52,3.66,0.0
20160116:2030,0.0,0.0,0.0,23.34,3.59,0.0
20160116:2130,0.0,0.0,0.0,23.36,3.66,0.0
20160116:2230,7.51,32.99,3.24,23.37,3.72,0.0
20160116:2330,152.2,221.95,16.72,23.75,3.66,0.0
20160117:0030,347.2,448.21,29.67,25.12,3.86,0.0
20160117:0130,526.59,675.91,41.63,26.54,3.79,0.0
20160117:0230,629.27,820.96,51.61,27.54,3.45,0.0
20160117:0330,684.35,906.11,57.72,28.31,3.17,0.0
20160117:0430,674.84,901.91,57.67,28.89,2.62,0.0
20160117:0530,616.54,824.86,51.48,29.27,2.07,0.0
20160117:0630,512.68,681.76,41.45,29.52,1.72,0.0
20160117:0730,355.37,475.36,29.48,29.71,1.93,0.0
20160117:0830,159.27,241.81,16.5,29.5,2.0,0.0
20160117:0930,5.84,34.74,3.0,28.9,2.21,0.0
20160117:1030,0.0,0.0,0.0,27.59,2.48,0.0
20160117:1130,0.0,0.0,0.0,26.52,2.9,0.0
20160117:1230,0.0,0.0,0.0,25.74,3.03,0.0
20160117:1330,0.0,0.0,0.0,25.15,3.1,0.0
20160117:1430,0.0,0.0,0.0,24.66,2.97,0.0
20160117:1530,0.0,0.0,0.0,24.38,2.9,0.0
20160117:1630,0.0,0.0,0.0,23.9,2.83,0.0
20160117:1730,0.0,0.0,0.0,23.53,2.83,0.0
20160117:1830,0.0,0.0,0.0,23.17,2.76,0.0
20160117:1930,0.0,0.0,0.0,22.94,2.76,0.0
20160117:2030,0.0,0.0,0.0,22.7,2.76,0.0
20160117:2130,0.0,0.0,0.0,22.65,2.9,0.0
20160117:2230,7.09,33.8,3.21,22.63,2.97,0.0
20160117:2330,162.9,236.95,16.71,23.04,2.9,0.0
20160118:0030,365.79,473.96,29.69,25.08,3.1,0.0
20160118:0130,527.85,679.71,41.69,26.58,3.38,0.0
20160118:0230,632.58,828.26,51.73,27.81,3.24,0.0
20160118:0330,668.4,887.56,57.89,28.78,2.97,0.0
20160118:0430,677.74,909.01,57.88,29.45,2.62,0.0
20160118:0530,619.82,827.61,51.69,29.93,2.48,0.0
20160118:0630,465.37,612.66,41.64,30.21,2.55,0.0
20160118:0730,324.17,430.96,29.63,30.26,3.17,0.0
20160118:0830,149.2,225.25,16.64,29.87,3.59,0.0
20160118:0930,5.67,33.43,3.11,29.0,4.0,0.0
20160118:1030,0.0,0.0,0.0,27.62,4.14,0.0
20160118:1130,0.0,0.0,0.0,26.66,4.48,0.0
20160118:1230,0.0,0.0,0.0,25.91,4.69,0.0
20160118:1330,0.0,0.0,0.0,25.23,4.62,0.0
20160118:1430,0.0,0.0,0.0,24.75,4.41,0.0
20160118:1530,0.0,0.0,0.0,24.4,4.28,0.0
20160118:1630,0.0,0.0,0.0,24.24,4.41,0.0
20160118:1730,0.0,0.0,0.0,24.29,4.76,0.0
20160118:1830,0.0,0.0,0.0,24.29,4.97,0.0
20160118:1930,0.0,0.0,0.0,24.4,5.03,0.0
20160118:2030,0.0,0.0,0.0,24.38,5.1,0.0
20160118:2130,0.0,0.0,0.0,24.38,5.38,0.0
20160118:2230,5.98,31.53,3.18,24.35,5.66,0.0
20160118:2330,134.0,196.65,16.7,24.8,5.66,0.0
20160119:0030,279.66,360.75,29.72,25.82,6.76,0.0
20160119:0130,397.42,501.55,41.75,26.95,7.24,0.0
20160119:0230,572.28,722.61,51.84,27.81,7.59,0.0
20160119:0330,632.8,804.01,58.08,28.51,7.86,0.0
20160119:0430,648.47,827.91,58.1,28.84,7.72,0.0
20160119:0530,587.87,750.11,51.89,29.16,7.38,0.0
20160119:0630,530.33,676.66,41.82,29.17,7.03,0.0
20160119:0730,369.91,480.76,29.79,29.04,6.83,0.0
20160119:0830,167.92,249.41,16.78,28.53,6.48,0.0
